종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"029530","신도리코","KOSPI","전기·전자","37250","150","0.40","375481080250"
"004970","신라교역","KOSPI","농업, 임업 및 어업","9030","-280","-3.01","144480000000"
"011930","신성이엔지","KOSPI","전기·전자","1230","46","3.89","253193225730"
"005390","신성통상","KOSPI","유통","2160","-20","-0.92","310410122400"
"004170","신세계","KOSPI","유통","130800","800","0.62","1287749674800"
"035510","신세계 I&C","KOSPI","IT 서비스","13740","-170","-1.22","209789739600"
"034300","신세계건설","KOSPI","건설","18110","0","0.00","140543632940"
"031430","신세계인터내셔날","KOSPI","유통","10310","400","4.04","368067000000"
"031440","신세계푸드","KOSPI","일반서비스","33700","-100","-0.30","130502576000"
"006880","신송홀딩스","KOSPI","유통","6400","100","1.59","75704691200"
"005800","신영와코루","KOSPI","섬유·의류","9200","50","0.55","82800000000"
"001720","신영증권","KOSPI","증권","76400","100","0.13","1256016000000"
"009270","신원","KOSPI","섬유·의류","1514","14","0.93","155315742984"
"002700","신일전자","KOSPI","유통","1421","10","0.71","100958527341"
"002870","신풍","KOSPI","유통","1249","7","0.56","43663416300"
"019170","신풍제약","KOSPI","제약","10530","-120","-1.13","557931944700"
"019175","신풍제약우","KOSPI","제약","16200","90","0.56","35640000000"
"481850","신한글로벌액티브리츠","KOSPI","기타금융","2080","20","0.97","90433541120"
"404990","신한서부티엔디리츠","KOSPI","부동산","3505","40","1.15","196125373420"
"293940","신한알파리츠","KOSPI","부동산","5740","0","0.00","694196306020"
"055550","신한지주","KOSPI","기타금융","48200","450","0.94","24266064665000"
"004080","신흥","KOSPI","유통","14380","30","0.21","136610000000"
"102280","쌍방울","KOSPI","섬유·의류","13450","0","0.00","70637274900"
"004770","써니전자","KOSPI","전기·전자","2235","70","3.23","82030945740"
"403550","쏘카","KOSPI","일반서비스","17830","-140","-0.78","585481962660"
"004920","씨아이테크","KOSPI","전기·전자","1161","31","2.74","58126385673"
"112610","씨에스윈드","KOSPI","금속","44750","2250","5.29","1887170284250"
"308170","씨티알모빌리티","KOSPI","운송장비·부품","6020","70","1.18","51832200000"
"008700","아남전자","KOSPI","전기·전자","1386","21","1.54","106895000520"
"002790","아모레G","KOSPI","화학","21250","500","2.41","1752236325000"
"00279K","아모레G3우(전환)","KOSPI","화학","16950","-160","-0.94","120212790000"
"002795","아모레G우","KOSPI","화학","8900","30","0.34","57349553000"
"090430","아모레퍼시픽","KOSPI","화학","108100","4700","4.55","6323067247900"
"090435","아모레퍼시픽우","KOSPI","화학","31700","200","0.63","334683211000"
"002030","아세아","KOSPI","일반서비스","234500","-13500","-5.44","492352448000"
"183190","아세아시멘트","KOSPI","비금속","10080","-20","-0.20","381391778880"
"002310","아세아제지","KOSPI","종이·목재","7010","-180","-2.50","299905395100"
"012170","아센디오","KOSPI","오락·문화","393","8","2.08","40702808784"
"267850","아시아나IDT","KOSPI","IT 서비스","12080","140","1.17","134088000000"
"020560","아시아나항공","KOSPI","운송·창고","10410","20","0.19","2144363301510"
"122900","아이마켓코리아","KOSPI","유통","7970","0","0.00","266427854800"
"010780","아이에스동서","KOSPI","비금속","21050","350","1.69","635435844800"
"139990","아주스틸","KOSPI","금속","3900","0","0.00","103419201600"
"009320","아진전자부품","KOSPI","운송장비·부품","1017","7","0.69","50137866090"
"001780","알루코","KOSPI","금속","2050","20","0.99","198501770600"
"018250","애경산업","KOSPI","화학","12950","530","4.27","342008658250"
"161000","애경케미칼","KOSPI","화학","7180","600","9.12","349297730620"
"011090","에넥스","KOSPI","기타제조","602","-13","-2.11","36114967882"
"137310","에스디바이오센서","KOSPI","의료·정밀기기","10830","140","1.31","1348089732990"
"005850","에스엘","KOSPI","운송장비·부품","30150","0","0.00","1400422878000"
"010580","에스엠벡셀","KOSPI","운송장비·부품","1336","1","0.07","148632351360"
"012750","에스원","KOSPI","일반서비스","58000","1400","2.47","2203952324000"
"023960","에쓰씨엔지니어링","KOSPI","건설","1384","-1","-0.07","48521084408"
