종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"464680","KB제27호스팩","SPAC(소속부없음)","1949","10","0.52","1950","1950","1938","1245","2416962","25151845000","12905000"
"476470","KB제28호스팩","SPAC(소속부없음)","2095","0","0.00","0","0","0","0","0","11532975000","5505000"
"478390","KB제29호스팩","SPAC(소속부없음)","1991","11","0.56","1981","2005","1981","1675","3331098","12384020000","6220000"
"486630","KB제30호스팩","SPAC(소속부없음)","2005","10","0.50","1995","2005","1989","28862","57646891","10646550000","5310000"
"492220","KB제31호스팩","SPAC(소속부없음)","1926","7","0.36","1918","1931","1918","71296","137187880","11960460000","6210000"
"021320","KCC건설","우량기업부","4005","-75","-1.84","4120","4120","4000","4083","16460845","85707000000","21400000"
"036670","KCI","우량기업부","6610","-10","-0.15","6620","6620","6520","9640","63498680","74494700000","11270000"
"044180","KD","투자주의환기종목(소속부없음)","609","12","2.01","575","615","573","629604","380066316","16271139591","26717799"
"046440","KG모빌리언스","우량기업부","4745","80","1.71","4645","4770","4620","48406","228855505","184227320160","38825568"
"151860","KG에코솔루션","우량기업부","4740","-70","-1.46","4790","4805","4655","59467","281078390","232748229480","49103002"
"035600","KG이니시스","우량기업부","8840","-200","-2.21","9040","9040","8760","113253","1004800960","246675196560","27904434"
"226360","KH 건설","투자주의환기종목(소속부없음)","2555","0","0.00","0","0","0","0","0","60698450260","23756732"
"111870","KH 미래물산","관리종목(소속부없음)","8910","0","0.00","0","0","0","0","0","43928518590","4930249"
"060720","KH바텍","우량기업부","8140","30","0.37","8110","8170","7990","61717","498053350","192734377880","23677442"
"058400","KNN","우량기업부","796","8","1.02","787","799","782","184655","145767723","105414057120","132429720"
"101000","KS인더스트리","중견기업부","2165","-20","-0.92","2130","2200","2090","92631","197301445","66351038615","30647131"
"122450","KX","우량기업부","3035","-85","-2.72","3060","3115","3025","91342","279395310","137594650740","45335964"
"052900","KX하이텍","우량기업부","873","1","0.11","872","889","863","65777","57451527","48108862341","55107517"
"376190","LB루셈","중견기업부","3820","140","3.80","3795","3900","3680","9604","36679210","93972000000","24600000"
"061970","LB세미콘","우량기업부","3560","0","0.00","3555","3560","3500","40849","144633620","155873147520","43784592"
"309960","LB인베스트먼트","중견기업부","3185","85","2.74","3155","3335","3100","12177","38604175","73946906215","23217239"
"225190","LK삼양","중견기업부","2600","15","0.58","2535","2640","2520","562885","1461311425","131945944000","50748440"
"060370","LS마린솔루션","중견기업부","14790","370","2.57","14260","14870","14260","168675","2480047620","483172350660","32668854"
"417200","LS머트리얼즈","중견기업부","11780","620","5.56","11150","12100","10850","409617","4805165410","796948323020","67652659"
"078020","LS증권","우량기업부","3830","-45","-1.16","3870","3905","3820","5874","22563540","212492957700","55481190"
"476080","M83","중견기업부","14500","700","5.07","13810","15030","13810","318316","4649319260","112882500000","7785000"
